state,date,sex,age,ethnicity,population,year
Johor,1970-01-01,both,overall,overall,1325.6,1970
Johor,1970-01-01,both,0-4,overall,210.1,1970
Johor,1970-01-01,both,5-9,overall,215.7,1970
Johor,1970-01-01,both,10-14,overall,192.2,1970
Johor,1970-01-01,both,15-19,overall,152.8,1970
Johor,1970-01-01,both,20-24,overall,110.7,1970
Johor,1970-01-01,both,25-29,overall,76.9,1970
Johor,1970-01-01,both,30-34,overall,76.8,1970
Johor,1970-01-01,both,35-39,overall,59.2,1970
Johor,1970-01-01,both,40-44,overall,51.7,1970
Johor,1970-01-01,both,45-49,overall,40.5,1970
Johor,1970-01-01,both,50-54,overall,36.4,1970
Johor,1970-01-01,both,55-59,overall,31.6,1970
Johor,1970-01-01,both,60-64,overall,28.5,1970
Johor,1970-01-01,both,65-69,overall,18.0,1970
Johor,1970-01-01,both,70+,overall,24.6,1970
Johor,1970-01-01,female,overall,overall,656.8,1970
Johor,1970-01-01,female,0-4,overall,103.0,1970
Johor,1970-01-01,female,5-9,overall,105.8,1970
Johor,1970-01-01,female,10-14,overall,95.3,1970
Johor,1970-01-01,female,15-19,overall,77.9,1970
Johor,1970-01-01,female,20-24,overall,56.7,1970
Johor,1970-01-01,female,25-29,overall,38.1,1970
Johor,1970-01-01,female,30-34,overall,38.1,1970
Johor,1970-01-01,female,35-39,overall,30.7,1970
Johor,1970-01-01,female,40-44,overall,26.0,1970
Johor,1970-01-01,female,45-49,overall,20.4,1970
Johor,1970-01-01,female,50-54,overall,18.2,1970
Johor,1970-01-01,female,55-59,overall,14.9,1970
Johor,1970-01-01,female,60-64,overall,13.0,1970
Johor,1970-01-01,female,65-69,overall,7.6,1970
Johor,1970-01-01,female,70+,overall,11.1,1970
Johor,1970-01-01,male,overall,overall,668.7,1970
Johor,1970-01-01,male,0-4,overall,107.0,1970
Johor,1970-01-01,male,5-9,overall,109.9,1970
Johor,1970-01-01,male,10-14,overall,96.8,1970
Johor,1970-01-01,male,15-19,overall,74.9,1970
Johor,1970-01-01,male,20-24,overall,54.0,1970
Johor,1970-01-01,male,25-29,overall,38.7,1970
Johor,1970-01-01,male,30-34,overall,38.7,1970
Johor,1970-01-01,male,35-39,overall,28.5,1970
Johor,1970-01-01,male,40-44,overall,25.7,1970
Johor,1970-01-01,male,45-49,overall,20.1,1970
Johor,1970-01-01,male,50-54,overall,18.2,1970
Johor,1970-01-01,male,55-59,overall,16.7,1970
Johor,1970-01-01,male,60-64,overall,15.5,1970
Johor,1970-01-01,male,65-69,overall,10.4,1970
Johor,1970-01-01,male,70+,overall,13.5,1970
Johor,1971-01-01,both,overall,overall,1355.4,1971
Johor,1971-01-01,both,0-4,overall,213.3,1971
Johor,1971-01-01,both,5-9,overall,213.1,1971
Johor,1971-01-01,both,10-14,overall,193.7,1971
Johor,1971-01-01,both,15-19,overall,157.8,1971
Johor,1971-01-01,both,20-24,overall,117.8,1971
Johor,1971-01-01,both,25-29,overall,83.0,1971
Johor,1971-01-01,both,30-34,overall,77.1,1971
Johor,1971-01-01,both,35-39,overall,62.3,1971
Johor,1971-01-01,both,40-44,overall,53.1,1971
Johor,1971-01-01,both,45-49,overall,42.4,1971
Johor,1971-01-01,both,50-54,overall,36.9,1971
Johor,1971-01-01,both,55-59,overall,31.9,1971
Johor,1971-01-01,both,60-64,overall,28.5,1971
Johor,1971-01-01,both,65-69,overall,19.1,1971
Johor,1971-01-01,both,70+,overall,25.6,1971
Johor,1971-01-01,female,overall,overall,671.9,1971
Johor,1971-01-01,female,0-4,overall,104.5,1971
Johor,1971-01-01,female,5-9,overall,104.7,1971
Johor,1971-01-01,female,10-14,overall,96.2,1971
Johor,1971-01-01,female,15-19,overall,80.1,1971
Johor,1971-01-01,female,20-24,overall,60.1,1971
Johor,1971-01-01,female,25-29,overall,41.3,1971
Johor,1971-01-01,female,30-34,overall,38.1,1971
Johor,1971-01-01,female,35-39,overall,32.0,1971
Johor,1971-01-01,female,40-44,overall,26.8,1971
Johor,1971-01-01,female,45-49,overall,21.3,1971
Johor,1971-01-01,female,50-54,overall,18.5,1971
Johor,1971-01-01,female,55-59,overall,15.3,1971
Johor,1971-01-01,female,60-64,overall,13.1,1971
Johor,1971-01-01,female,65-69,overall,8.3,1971
Johor,1971-01-01,female,70+,overall,11.6,1971
Johor,1971-01-01,male,overall,overall,683.5,1971
Johor,1971-01-01,male,0-4,overall,108.8,1971
Johor,1971-01-01,male,5-9,overall,108.4,1971
Johor,1971-01-01,male,10-14,overall,97.5,1971
Johor,1971-01-01,male,15-19,overall,77.7,1971
Johor,1971-01-01,male,20-24,overall,57.7,1971
Johor,1971-01-01,male,25-29,overall,41.7,1971
Johor,1971-01-01,male,30-34,overall,38.9,1971
Johor,1971-01-01,male,35-39,overall,30.3,1971
Johor,1971-01-01,male,40-44,overall,26.2,1971
Johor,1971-01-01,male,45-49,overall,21.1,1971
Johor,1971-01-01,male,50-54,overall,18.4,1971
Johor,1971-01-01,male,55-59,overall,16.6,1971
Johor,1971-01-01,male,60-64,overall,15.3,1971
Johor,1971-01-01,male,65-69,overall,10.8,1971
Johor,1971-01-01,male,70+,overall,13.9,1971
Johor,1972-01-01,both,overall,overall,1385.3,1972
Johor,1972-01-01,both,0-4,overall,216.1,1972
Johor,1972-01-01,both,5-9,overall,211.2,1972
Johor,1972-01-01,both,10-14,overall,195.6,1972
Johor,1972-01-01,both,15-19,overall,162.4,1972
Johor,1972-01-01,both,20-24,overall,124.5,1972
Johor,1972-01-01,both,25-29,overall,89.3,1972
Johor,1972-01-01,both,30-34,overall,77.2,1972
Johor,1972-01-01,both,35-39,overall,65.6,1972
Johor,1972-01-01,both,40-44,overall,54.3,1972
Johor,1972-01-01,both,45-49,overall,44.4,1972
Johor,1972-01-01,both,50-54,overall,37.3,1972
Johor,1972-01-01,both,55-59,overall,32.3,1972
Johor,1972-01-01,both,60-64,overall,28.3,1972
Johor,1972-01-01,both,65-69,overall,20.3,1972
Johor,1972-01-01,both,70+,overall,26.5,1972
Johor,1972-01-01,female,overall,overall,686.9,1972
Johor,1972-01-01,female,0-4,overall,105.7,1972
Johor,1972-01-01,female,5-9,overall,103.8,1972
Johor,1972-01-01,female,10-14,overall,97.2,1972
Johor,1972-01-01,female,15-19,overall,82.1,1972
Johor,1972-01-01,female,20-24,overall,63.4,1972
Johor,1972-01-01,female,25-29,overall,44.6,1972
Johor,1972-01-01,female,30-34,overall,38.1,1972
Johor,1972-01-01,female,35-39,overall,33.3,1972
Johor,1972-01-01,female,40-44,overall,27.6,1972
Johor,1972-01-01,female,45-49,overall,22.3,1972
Johor,1972-01-01,female,50-54,overall,18.8,1972
Johor,1972-01-01,female,55-59,overall,15.7,1972
Johor,1972-01-01,female,60-64,overall,13.2,1972
Johor,1972-01-01,female,65-69,overall,9.0,1972
Johor,1972-01-01,female,70+,overall,12.1,1972
Johor,1972-01-01,male,overall,overall,698.4,1972
