state,date,sex,age,ethnicity,population,year
Johor,1970-01-01,both,overall,overall,1325600.0,1970
Johor,1970-01-01,both,0-4,overall,210100.0,1970
Johor,1970-01-01,both,5-9,overall,215700.0,1970
Johor,1970-01-01,both,10-14,overall,192200.0,1970
Johor,1970-01-01,both,15-19,overall,152800.0,1970
Johor,1970-01-01,both,20-24,overall,110700.0,1970
Johor,1970-01-01,both,25-29,overall,76900.0,1970
Johor,1970-01-01,both,30-34,overall,76800.0,1970
Johor,1970-01-01,both,35-39,overall,59200.0,1970
Johor,1970-01-01,both,40-44,overall,51700.0,1970
Johor,1970-01-01,both,45-49,overall,40500.0,1970
Johor,1970-01-01,both,50-54,overall,36400.0,1970
Johor,1970-01-01,both,55-59,overall,31600.0,1970
Johor,1970-01-01,both,60-64,overall,28500.0,1970
Johor,1970-01-01,both,65-69,overall,18000.0,1970
Johor,1970-01-01,both,70+,overall,24600.0,1970
Johor,1970-01-01,female,overall,overall,656800.0,1970
Johor,1970-01-01,female,0-4,overall,103000.0,1970
Johor,1970-01-01,female,5-9,overall,105800.0,1970
Johor,1970-01-01,female,10-14,overall,95300.0,1970
Johor,1970-01-01,female,15-19,overall,77900.0,1970
Johor,1970-01-01,female,20-24,overall,56700.0,1970
Johor,1970-01-01,female,25-29,overall,38100.0,1970
Johor,1970-01-01,female,30-34,overall,38100.0,1970
Johor,1970-01-01,female,35-39,overall,30700.0,1970
Johor,1970-01-01,female,40-44,overall,26000.0,1970
Johor,1970-01-01,female,45-49,overall,20400.0,1970
Johor,1970-01-01,female,50-54,overall,18200.0,1970
Johor,1970-01-01,female,55-59,overall,14900.0,1970
Johor,1970-01-01,female,60-64,overall,13000.0,1970
Johor,1970-01-01,female,65-69,overall,7600.0,1970
Johor,1970-01-01,female,70+,overall,11100.0,1970
Johor,1970-01-01,male,overall,overall,668700.0,1970
Johor,1970-01-01,male,0-4,overall,107000.0,1970
Johor,1970-01-01,male,5-9,overall,109900.0,1970
Johor,1970-01-01,male,10-14,overall,96800.0,1970
Johor,1970-01-01,male,15-19,overall,74900.0,1970
Johor,1970-01-01,male,20-24,overall,54000.0,1970
Johor,1970-01-01,male,25-29,overall,38700.0,1970
Johor,1970-01-01,male,30-34,overall,38700.0,1970
Johor,1970-01-01,male,35-39,overall,28500.0,1970
Johor,1970-01-01,male,40-44,overall,25700.0,1970
Johor,1970-01-01,male,45-49,overall,20100.0,1970
Johor,1970-01-01,male,50-54,overall,18200.0,1970
Johor,1970-01-01,male,55-59,overall,16700.0,1970
Johor,1970-01-01,male,60-64,overall,15500.0,1970
Johor,1970-01-01,male,65-69,overall,10400.0,1970
Johor,1970-01-01,male,70+,overall,13500.0,1970
Johor,1971-01-01,both,overall,overall,1355400.0,1971
Johor,1971-01-01,both,0-4,overall,213300.0,1971
Johor,1971-01-01,both,5-9,overall,213100.0,1971
Johor,1971-01-01,both,10-14,overall,193700.0,1971
Johor,1971-01-01,both,15-19,overall,157800.0,1971
Johor,1971-01-01,both,20-24,overall,117800.0,1971
Johor,1971-01-01,both,25-29,overall,83000.0,1971
Johor,1971-01-01,both,30-34,overall,77100.0,1971
Johor,1971-01-01,both,35-39,overall,62300.0,1971
Johor,1971-01-01,both,40-44,overall,53100.0,1971
Johor,1971-01-01,both,45-49,overall,42400.0,1971
Johor,1971-01-01,both,50-54,overall,36900.0,1971
Johor,1971-01-01,both,55-59,overall,31900.0,1971
Johor,1971-01-01,both,60-64,overall,28500.0,1971
Johor,1971-01-01,both,65-69,overall,19100.0,1971
Johor,1971-01-01,both,70+,overall,25600.0,1971
Johor,1971-01-01,female,overall,overall,671900.0,1971
Johor,1971-01-01,female,0-4,overall,104500.0,1971
Johor,1971-01-01,female,5-9,overall,104700.0,1971
Johor,1971-01-01,female,10-14,overall,96200.0,1971
Johor,1971-01-01,female,15-19,overall,80100.0,1971
Johor,1971-01-01,female,20-24,overall,60100.0,1971
