state,population,year,area_size,pop_dens
Johor,4205900.0,2025,19210,218.94325871941697
Kedah,2228000.0,2025,9500,234.52631578947367
Kelantan,1907700.0,2025,15099,126.34611563679714
Melaka,1052500.0,2025,1664,632.5120192307693
NegeriSembilan,1244600.0,2025,6686,186.15016452288364
Pahang,1678200.0,2025,36137,46.43993690677145
Perak,2574900.0,2025,21035,122.41026859995246
Perlis,297800.0,2025,821,362.72838002436055
PulauPinang,1803300.0,2025,1048,1720.706106870229
Sabah,3759600.0,2025,73631,51.060015482609224
Sarawak,2529800.0,2025,73631,34.35781124797979
Selangor,7406800.0,2025,8104,913.9684106614018
Terengganu,1246900.0,2025,13035,95.65784426543921
KualaLumpur,2074100.0,2025,243,8535.390946502057
Labuan,100900.0,2025,91,1108.7912087912089
Putrajaya,120800.0,2025,49,2465.3061224489797
